metric,mean(var),std,min,max,var
accuracy,0.651(0.030),0.0305,0.6032,0.6921,0.0009
precision,0.678(0.031),0.0308,0.6355,0.7380,0.0009
recall,0.651(0.030),0.0305,0.6032,0.6921,0.0009
f1_score,0.636(0.035),0.0350,0.5827,0.6886,0.0012

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.6032,0.6355,0.6032,0.5833
2,0.6095,0.6467,0.6095,0.5827
3,0.6921,0.7239,0.6921,0.6886
4,0.6190,0.6540,0.6190,0.6036
5,0.6381,0.6793,0.6381,0.6191
6,0.6698,0.6693,0.6698,0.6660
7,0.6540,0.6674,0.6540,0.6498
8,0.6889,0.7380,0.6889,0.6475
9,0.6698,0.6914,0.6698,0.6649
10,0.6667,0.6701,0.6667,0.6582
