metric,mean(var),std,min,max,var
accuracy,0.875(0.021),0.0208,0.8446,0.9198,0.0004
precision,0.883(0.019),0.0192,0.8553,0.9212,0.0004
recall,0.875(0.021),0.0208,0.8446,0.9198,0.0004
f1_score,0.872(0.022),0.0218,0.8416,0.9180,0.0005

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.8972,0.9085,0.8972,0.8990
2,0.8772,0.8838,0.8772,0.8741
3,0.8622,0.8701,0.8622,0.8572
4,0.8872,0.8908,0.8872,0.8854
5,0.8571,0.8620,0.8571,0.8529
6,0.9198,0.9212,0.9198,0.9180
7,0.8697,0.8812,0.8697,0.8678
8,0.8747,0.8827,0.8747,0.8716
9,0.8596,0.8710,0.8596,0.8573
10,0.8446,0.8553,0.8446,0.8416
