metric,mean(var),std,min,max,var
accuracy,0.679(0.031),0.0306,0.6381,0.7429,0.0009
precision,0.683(0.029),0.0285,0.6442,0.7427,0.0008
recall,0.679(0.031),0.0306,0.6381,0.7429,0.0009
f1_score,0.677(0.030),0.0301,0.6351,0.7427,0.0009

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7429,0.7427,0.7429,0.7427
2,0.6825,0.6918,0.6825,0.6808
3,0.6667,0.6763,0.6667,0.6698
4,0.6952,0.6946,0.6952,0.6939
5,0.7111,0.7156,0.7111,0.7034
6,0.6603,0.6618,0.6603,0.6584
7,0.6413,0.6551,0.6413,0.6437
8,0.6635,0.6612,0.6635,0.6578
9,0.6381,0.6442,0.6381,0.6351
10,0.6921,0.6896,0.6921,0.6882
