metric,mean(var),std,min,max,var
accuracy,0.583(0.044),0.0438,0.4984,0.6476,0.0019
precision,0.601(0.049),0.0494,0.5140,0.6806,0.0024
recall,0.583(0.044),0.0438,0.4984,0.6476,0.0019
f1_score,0.569(0.050),0.0500,0.4753,0.6412,0.0025

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.6063,0.6031,0.6063,0.5927
2,0.5492,0.5593,0.5492,0.5254
3,0.6095,0.6167,0.6095,0.6096
4,0.6000,0.6806,0.6000,0.5872
5,0.6476,0.6584,0.6476,0.6412
6,0.5651,0.5744,0.5651,0.5536
7,0.5841,0.6127,0.5841,0.5662
8,0.6317,0.6409,0.6317,0.6278
9,0.5333,0.5486,0.5333,0.5155
10,0.4984,0.5140,0.4984,0.4753
