metric,mean(var),std,min,max,var
accuracy,0.596(0.030),0.0304,0.5524,0.6444,0.0009
precision,0.612(0.048),0.0477,0.5507,0.7186,0.0023
recall,0.596(0.030),0.0304,0.5524,0.6444,0.0009
f1_score,0.574(0.040),0.0399,0.5107,0.6281,0.0016

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.6317,0.6341,0.6317,0.6099
2,0.5651,0.5770,0.5651,0.5452
3,0.5587,0.5543,0.5587,0.5379
4,0.5937,0.6137,0.5937,0.5538
5,0.6190,0.7186,0.6190,0.6163
6,0.6095,0.6164,0.6095,0.5910
7,0.6095,0.6185,0.6095,0.6111
8,0.5524,0.5507,0.5524,0.5331
9,0.6444,0.6527,0.6444,0.6281
10,0.5746,0.5829,0.5746,0.5107
